No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Category
2082,bihar bhagalpur,246000,18,2238.0,$0.26,1,37,https://www.tripadvisor.in/Attractions-g2288593-Activities-Bhagalpur_Bhagalpur_District_Bihar.html,Unknown,Unknown,Unknown,Unknown
2083,bidar in karnataka,246000,9,11537.0,$0.28,1,34,https://www.tripadvisor.in/Attractions-g1236165-Activities-Bidar_Bidar_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
2084,bhiwani in haryana,246000,12,4846.0,$0.07,1,30,https://www.tripadvisor.in/Attractions-g3935134-Activities-Bhiwani_Bhiwani_District_Haryana.html,Unknown,Unknown,Unknown,Unknown
2085,bardoli surat,201000,12,4846.0,$0,1,47,https://www.tripadvisor.in/Tourism-g17222715-Bardoli_Surat_District_Gujarat-Vacations.html,Unknown,Unknown,Unknown,Bar
2086,sri ganganagar,201000,13,4846.0,$0,3,48,https://www.tripadvisor.in/Attractions-g12413367-Activities-Sri_Ganganagar_District_Rajasthan.html,Unknown,Unknown,Unknown,Unknown
2087,sirsa haryana india,246000,13,3690.0,$0.11,1,29,https://www.tripadvisor.in/Tourism-g3383710-Sirsa_Sirsa_District_Haryana-Vacations.html,Unknown,Unknown,Unknown,Unknown
2088,dilshad garden in delhi,246000,44,516.0,$0.11,4,25,https://www.tripadvisor.in/AttractionsNear-g3721800-d9575067-Dilshad_Garden-Sahibabad_Ghaziabad_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2089,dharamshala cricket stadium india,301000,12,4846.0,$0.02,1,23,https://www.tripadvisor.in/ShowUserReviews-g319724-d4400957-r479435839-HPCA_Stadium-Dharamsala_Kangra_District_Himachal_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2090,dharamsala stadium,301000,18,2238.0,$0.02,1,21,https://www.tripadvisor.in/Attraction_Review-g319724-d4400957-Reviews-HPCA_Stadium-Dharamsala_Kangra_District_Himachal_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2091,museums museum,246000,8,23935.0,$0.16,1,19,https://www.tripadvisor.in/Attractions-g297660-Activities-c49-Odisha.html,Unknown,Unknown,Unknown,Unknown
2092,karnataka hubli,246000,10,11537.0,$0.32,1,33,https://www.tripadvisor.in/Attractions-g1154299-Activities-Hubli_Dharwad_Dharwad_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
2093,kalyani india,246000,12,4846.0,$0.09,1,22,https://www.tripadvisor.in/Tourism-g1214324-Kalyani_Nadia_District_West_Bengal-Vacations.html,Unknown,Unknown,Unknown,Unknown
2094,maharashtra ratnagiri,201000,11,8314.0,$0.21,1,20,https://www.tripadvisor.in/Attractions-g641715-Activities-Ratnagiri_Ratnagiri_District_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
2095,madikeri karnataka,301000,5,39852.0,$0.25,1,26,https://www.tripadvisor.in/Attractions-g641714-Activities-Madikeri_Kodagu_Coorg_Karnataka.html,Unknown,Unknown,Unknown,Unknown
2096,ludhiana khanna,246000,32,516.0,$0.11,1,20,https://www.tripadvisor.in/Attractions-g12346228-Activities-Khanna_Ludhianar_District_Punjab.html,Unknown,Unknown,Unknown,Unknown
2097,ganganagar india,246000,12,4846.0,$0.11,1,29,https://www.tripadvisor.in/Tourism-g2295148-Sri_Ganganagar_Sri_Ganganagar_District_Rajasthan-Vacations.html,Unknown,Unknown,Unknown,Unknown
2098,gandhidham kachchh,246000,33,516.0,$0.11,1,18,https://www.tripadvisor.in/Tourism-g1092105-Gandhidham_Kutch_District_Gujarat-Vacations.html,Unknown,Unknown,Unknown,Unknown
2099,iit of delhi,246000,13,3690.0,$0.88,2,50,https://www.tripadvisor.in/Attraction_Review-g304551-d6496050-Reviews-Indian_Institute_of_Technology_Delhi-New_Delhi_National_Capital_Territory_of_Delh.html,Unknown,Unknown,Unknown,Unknown
2100,ambaji india,246000,9,11537.0,$0.12,1,33,https://www.tripadvisor.in/Attraction_Review-g2295144-d1224957-Reviews-Ambaji_Temple-Ambaji_Banaskantha_District_Gujarat.html,Unknown,Unknown,Unknown,Unknown
2101,bidar karnataka,246000,11,11537.0,$0,1,47,https://www.tripadvisor.in/Attractions-g1236165-Activities-Bidar_Bidar_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
2102,bidar district,246000,13,3690.0,$0,1,47,https://www.tripadvisor.in/Tourism-g12392987-Bidar_District_Karnataka-Vacations.html,Unknown,Unknown,Unknown,Unknown
2103,bhiwani india,246000,11,8314.0,$0.07,1,28,https://www.tripadvisor.in/Tourism-g3935134-Bhiwani_Bhiwani_District_Haryana-Vacations.html,Unknown,Unknown,Unknown,Unknown
2104,bhagalpur in bihar,246000,14,4846.0,$0.26,1,26,https://www.tripadvisor.in/Tourism-g2288593-Bhagalpur_Bhagalpur_District_Bihar-Vacations.html,Unknown,Unknown,Unknown,Unknown
2105,uttarakhand badrinath,301000,12,6297.0,$0.31,1,37,https://www.tripadvisor.in/Attractions-g1091050-Activities-Badrinath_Chamoli_District_Uttarakhand.html,Unknown,Unknown,Unknown,Unknown
2106,pizza hut near me,246000,9,8314.0,$0.24,7,57,https://www.tripadvisor.in/Restaurant_Review-g304556-d813803-Reviews-Pizza_Hut-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Restaurant
2107,palolem beach goa,246000,5,39852.0,$0.35,4,44,https://www.tripadvisor.in/Attraction_Review-g306996-d482982-Reviews-Palolem_Beach-Canacona_South_Goa_District_Goa.html,Unknown,Unknown,Unknown,Unknown
2108,omkareshwar temple,246000,12,8314.0,$0.51,1,48,https://www.tripadvisor.in/Attraction_Review-g1508514-d4699769-Reviews-Shri_Omkareshwar_Jyotirlinga-Omkareshwar_Khandwa_District_Madhya_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2109,rk beach vizag,201000,6,39852.0,$0.23,5,44,https://www.tripadvisor.in/Attraction_Review-g297588-d1771431-Reviews-Rama_Krishna_Beach-Visakhapatnam_Visakhapatnam_District_Andhra_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2110,rajasthan sri ganganagar,246000,23,1057.0,$0.16,2,26,https://www.tripadvisor.in/Attractions-g2295148-Activities-Sri_Ganganagar_Sri_Ganganagar_District_Rajasthan.html,Unknown,Unknown,Unknown,Unknown
2111,pudukkottai location,201000,19,1377.0,$0.19,1,36,https://www.tripadvisor.in/Attractions-g2285992-Activities-Pudukkottai_Pudukkottai_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Unknown
2112,kashmir jammu kashmir,246000,17,1845.0,$0.47,1,65,https://www.tripadvisor.in/Tourism-g297619-Jammu_and_Kashmir-Vacations.html,Unknown,Unknown,Unknown,Unknown
2113,jhunjhunu in rajasthan,27100,16,2238.0,$0,1,21,https://www.tripadvisor.in/Attractions-g1162321-Activities-Jhunjhunu_Jhunjhunu_District_Rajasthan.html,Unknown,Unknown,Unknown,Unknown
2114,mandya,201000,7,23935.0,$0,1,61,https://www.tripadvisor.in/Attractions-g2078495-Activities-Mandya_Mandya_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
2115,museum,246000,22,1845.0,$1.27,1,61,https://www.tripadvisor.in/Attraction_Review-g297592-d13090494-Reviews-Bihar_Museum-Patna_Patna_District_Bihar.html,Unknown,Unknown,Unknown,Unknown
2116,church near me,246000,13,4846.0,$1.16,1,43,https://www.tripadvisor.in/Attractions-g297586-Activities-c47-t175-Hyderabad_Hyderabad_District_Telangana.html,Unknown,Unknown,Unknown,Unknown
2117,chandrapur in maharashtra,246000,11,8314.0,$0.12,1,24,https://www.tripadvisor.in/Attractions-g1459055-Activities-Chandrapur_Chandrapur_District_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
2118,dwarka bet dwarka,201000,10,6297.0,$0.01,1,48,https://www.tripadvisor.in/Attraction_Review-g12385472-d4896071-Reviews-or50-Beyt_Dwarka-Devbhumi_Dwarka_District_Gujarat.html,Unknown,Unknown,Unknown,Unknown
2119,dharamshala stadium,246000,16,1845.0,$0,1,47,https://www.tripadvisor.in/Attraction_Review-g319724-d4400957-Reviews-HPCA_Stadium-Dharamsala_Kangra_District_Himachal_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2120,delhi iit,246000,16,2238.0,$1.11,1,56,https://www.tripadvisor.in/Attraction_Review-g304551-d6496050-Reviews-Indian_Institute_of_Technology_Delhi-New_Delhi_National_Capital_Territory_of_Delh.html,Unknown,Unknown,Unknown,Unknown
2121,dakshineswar kali temple kolkata,201000,10,11537.0,$0.12,5,29,https://www.tripadvisor.in/Attraction_Review-g304558-d3952876-Reviews-Dakshineswar_Kali_Temple-Kolkata_Calcutta_Kolkata_District_West_Bengal.html,Unknown,Unknown,Unknown,Unknown
2122,ghat assi,246000,9,23935.0,$0.16,6,22,https://www.tripadvisor.in/Attraction_Review-g297685-d321162-Reviews-Assi_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2123,gandhidham location,201000,30,516.0,$0.11,1,31,https://www.tripadvisor.in/Tourism-g1092105-Gandhidham_Kutch_District_Gujarat-Vacations.html,Unknown,Unknown,Unknown,Unknown
2124,gujarat valsad,201000,9,11537.0,$0,1,48,https://www.tripadvisor.in/Attractions-g661301-Activities-Valsad_Valsad_District_Gujarat.html,Unknown,Unknown,Unknown,Unknown
2125,ambience mall delhi vasant kunj,246000,5,16211.0,$0.20,7,24,https://www.tripadvisor.in/ShowUserReviews-g304551-d8643127-r638097176-Ambience_Mall-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
2126,agra lal qila,246000,23,1057.0,$0.07,6,48,https://www.tripadvisor.in/ShowUserReviews-g297683-d319695-r490575190-Agra_Fort-Agra_Agra_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2127,beed india,201000,9,16211.0,$0.54,1,45,https://www.tripadvisor.in/Tourism-g4177313-Beed_Beed_District_Maharashtra-Vacations.html,Unknown,Unknown,Unknown,Unknown
2128,bardoli india,246000,5,39852.0,$0.07,1,28,https://www.tripadvisor.in/Tourism-g17222715-Bardoli_Surat_District_Gujarat-Vacations.html,Unknown,Unknown,Unknown,Bar
2129,big temple in thanjavur,201000,25,664.0,$0.05,3,40,https://www.tripadvisor.in/Attraction_Review-g424926-d1837966-Reviews-Brihadeeswara_Temple-Thanjavur_Thanjavur_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Unknown
2130,rameswaram temple tamilnadu,246000,19,1845.0,$0.04,4,45,https://www.tripadvisor.in/Attractions-g303894-Activities-Rameswaram_Ramanathapuram_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Unknown
2131,rameshwaram temple,246000,15,4846.0,$0.53,2,48,https://www.tripadvisor.in/Attraction_Review-g303894-d1373128-Reviews-Arulmigu_Ramanatha_Swamy_Temple-Rameswaram_Ramanathapuram_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Unknown
2132,status pnr no irctc,246000,16,1451.0,$0.01,2,58,https://www.tripadvisor.in/ShowTopic-g293860-i511-k10015421-Some_ways_to_check_the_PNR_status_for_Indian_Railway-India.html,Unknown,Unknown,Unknown,Unknown
2133,sohna gurgaon,246000,11,4846.0,$0.35,2,48,https://www.tripadvisor.in/Attractions-g2185944-Activities-Sohna_Gurgaon_District_Haryana.html,Unknown,Unknown,Unknown,Unknown
2134,sirsa in haryana,246000,16,2238.0,$0.11,1,19,https://www.tripadvisor.in/Attractions-g3383710-Activities-Sirsa_Sirsa_District_Haryana.html,Unknown,Unknown,Unknown,Unknown
2135,shopping malls near me,246000,5,74784.0,$0.30,19,40,https://www.tripadvisor.in/Attractions-g297586-Activities-c26-t143-Hyderabad_Hyderabad_District_Telangana.html,Unknown,Unknown,Unknown,Unknown
2136,thane viviana mall,246000,3,23935.0,$0.12,5,22,https://www.tripadvisor.in/Attraction_Review-g304554-d6041421-Reviews-Viviana_Mall-Mumbai_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
2137,restaurant near me bar,246000,8,16211.0,$0.05,11,25,https://www.tripadvisor.in/Restaurants-g297615-zfg11776-Gurugram_Gurgaon_Gurgaon_District_Haryana.html,Unknown,Unknown,Unknown,Restaurant
2138,ratlam in madhya pradesh,246000,23,1057.0,$0.08,1,35,https://www.tripadvisor.in/Attractions-g1156404-Activities-Ratlam_Ratlam_District_Madhya_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2139,rameshwaram temple in tamil nadu,246000,14,8314.0,$0.07,2,41,https://www.tripadvisor.in/Attraction_Review-g303894-d1373128-Reviews-Arulmigu_Ramanatha_Swamy_Temple-Rameswaram_Ramanathapuram_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Unknown
2140,rajasthan ganganagar,246000,20,1254.0,$0.16,2,24,https://www.tripadvisor.in/Attractions-g2295148-Activities-Sri_Ganganagar_Sri_Ganganagar_District_Rajasthan.html,Unknown,Unknown,Unknown,Unknown
2141,raigad,301000,9,11537.0,$0.25,1,61,https://www.tripadvisor.in/Tourism-g2531523-Raigad_Raigad_District_Maharashtra-Vacations.html,Unknown,Unknown,Unknown,Unknown
2142,sirsa india,246000,9,16211.0,$0.11,1,22,https://www.tripadvisor.in/Tourism-g3383710-Sirsa_Sirsa_District_Haryana-Vacations.html,Unknown,Unknown,Unknown,Unknown
2143,shopping mall near me,201000,5,74784.0,$0.43,7,37,https://www.tripadvisor.in/Attractions-g297586-Activities-c26-t143-Hyderabad_Hyderabad_District_Telangana.html,Unknown,Unknown,Unknown,Unknown
2144,swami samarth,246000,18,1845.0,$2,22,54,https://www.tripadvisor.in/Attraction_Review-g12915682-d2009061-Reviews-Shree_Swami_Samarth_Samadhi_Math-Akkalkot_Solapur_District_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
2145,jhunjhunu city rajasthan,246000,10,11537.0,$0.04,1,29,https://www.tripadvisor.in/Attractions-g12413336-Activities-Jhunjhunu_District_Rajasthan.html,Unknown,Unknown,Unknown,Unknown
2146,ice cream near me near me,246000,9,11537.0,$0.06,8,23,https://www.tripadvisor.in/Restaurants-g679014-zfd9899-Secunderabad_Hyderabad_District_Telangana-Ice_Cream.html,Unknown,Unknown,Unknown,Restaurant
2147,krishna nagar,246000,54,516.0,$0.10,3,20,https://www.tripadvisor.in/Tourism-g776431-Krishnanagar_Nadia_District_West_Bengal-Vacations.html,Unknown,Unknown,Unknown,Unknown
2148,kerala thodupuzha,246000,8,11537.0,$0.09,1,20,https://www.tripadvisor.in/Attractions-g2627052-Activities-Thodupuzha_Idukki_District_Kerala.html,Unknown,Unknown,Unknown,Unknown
2149,kashipur,246000,7,16211.0,$0.24,1,60,https://www.tripadvisor.in/Tourism-g1162520-Kashipur_Udham_Singh_Nagar_District_Uttarakhand-Vacations.html,Unknown,Unknown,Unknown,Unknown
2150,mandya city,201000,8,16211.0,$0,1,48,https://www.tripadvisor.in/Attractions-g2078495-Activities-Mandya_Mandya_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
2151,mandi,246000,15,2779.0,$0,1,60,https://www.tripadvisor.in/Tourism-g1087542-Mandi_Mandi_District_Himachal_Pradesh-Vacations.html,Unknown,Unknown,Unknown,Unknown
2152,maharashtra raigad fort,246000,13,4846.0,$0,1,31,https://www.tripadvisor.in/Attraction_Review-g2531523-d1536727-Reviews-Raigad_Fort-Raigad_Raigad_District_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
2153,nizamabad andhra pradesh,246000,57,516.0,$0.25,1,32,https://www.tripadvisor.in/Attractions-g2295101-Activities-Nizamabad_Nizamabad_District_Telangana.html,Unknown,Unknown,Unknown,Unknown
2154,paris and france,246000,4,39852.0,$0.63,1,75,https://www.tripadvisor.in/Tourism-g187147-Paris_Ile_de_France-Vacations.html,Unknown,Unknown,Unknown,Unknown
2155,panchkula in haryana,246000,19,2238.0,$0.14,2,39,https://www.tripadvisor.in/Attractions-g297616-Activities-Panchkula_Panchkula_District_Haryana.html,Unknown,Unknown,Unknown,Unknown
2156,goa arambol beach,246000,5,74784.0,$0.19,4,44,https://www.tripadvisor.in/Attraction_Review-g2307943-d482978-Reviews-Arambol_Beach-Arambol_North_Goa_District_Goa.html,Unknown,Unknown,Unknown,Unknown
2157,gandhidham city,201000,87,516.0,$0,2,48,https://www.tripadvisor.in/Tourism-g1092105-Gandhidham_Kutch_District_Gujarat-Vacations.html,Unknown,Unknown,Unknown,Unknown
2158,jamshedpur,246000,13,4846.0,$0,1,60,https://www.tripadvisor.in/Tourism-g662321-Jamshedpur_East_Singhbhum_District_Jharkhand-Vacations.html,Unknown,Unknown,Unknown,Unknown
2159,jammu kashmir,368000,13,6297.0,$0.22,1,47,https://www.tripadvisor.in/Tourism-g297619-Jammu_and_Kashmir-Vacations.html,Unknown,Unknown,Unknown,Unknown
2160,hubli dharwad karnataka,246000,11,6297.0,$0.32,1,29,https://www.tripadvisor.in/Attractions-g1154299-Activities-Hubli_Dharwad_Dharwad_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
2161,dharamsala cricket stadium,301000,16,2779.0,$0,1,42,https://www.tripadvisor.in/Attraction_Review-g319724-d4400957-Reviews-HPCA_Stadium-Dharamsala_Kangra_District_Himachal_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2162,experiences,246000,26,565.0,$0.70,2,61,https://www.tripadvisor.in/Attraction_Review-g304551-d17734505-Reviews-Exquisite_Experiences-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
2163,ambaji,246000,9,16211.0,$0,1,60,https://www.tripadvisor.in/Attraction_Review-g2295144-d1224957-Reviews-Ambaji_Temple-Ambaji_Banaskantha_District_Gujarat.html,Unknown,Unknown,Unknown,Unknown
2164,yoga sessions near me,246000,12,4846.0,$0.22,12,38,https://www.tripadvisor.in/Attractions-g297633-Activities-c40-t260-Kochi_Cochin_Ernakulam_District_Kerala.html,Unknown,Unknown,Unknown,Unknown
2165,valsad india,246000,7,23935.0,$0.09,1,31,https://www.tripadvisor.in/Tourism-g661301-Valsad_Valsad_District_Gujarat-Vacations.html,Unknown,Unknown,Unknown,Unknown
2166,trivandrum varkala beach,246000,3,39852.0,$0.16,3,40,https://www.tripadvisor.in/Attraction_Review-g297639-d324100-Reviews-Varkala_Beach-Varkala_Town_Varkala_Thiruvananthapuram_District_Kerala.html,Unknown,Unknown,Unknown,Unknown
2167,paris europe,246000,13,8314.0,$0.58,1,56,https://www.tripadvisor.in/Tourism-g187147-Paris_Ile_de_France-Vacations.html,Unknown,Unknown,Unknown,Unknown
2168,paharganj,201000,5,39852.0,$0.67,6,62,https://www.tripadvisor.in/Attraction_Review-g304551-d2294573-Reviews-Paharganj-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
2169,rameshwaram temple india,246000,18,1451.0,$0.06,3,29,https://www.tripadvisor.in/Attractions-g303894-Activities-Rameswaram_Ramanathapuram_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Unknown
2170,rambagh palace jaipur rajasthan,246000,6,23935.0,$0.15,12,38,https://www.tripadvisor.in/Hotel_Review-g304555-d302157-Reviews-Rambagh_Palace-Jaipur_Jaipur_District_Rajasthan.html,Unknown,Unknown,Unknown,Hotel
2171,rama krishna beach visakhapatnam,246000,2,74784.0,$0.12,6,32,https://www.tripadvisor.in/Attraction_Review-g297588-d1771431-Reviews-Rama_Krishna_Beach-Visakhapatnam_Visakhapatnam_District_Andhra_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2172,rajgir nalanda,201000,13,4846.0,$0.04,1,47,https://www.tripadvisor.in/LocationPhotos-g1155937-Rajgir_Nalanda_District_Bihar.html,Unknown,Unknown,Unknown,Unknown
2173,haryana sirsa,246000,18,2779.0,$0.11,1,43,https://www.tripadvisor.in/Attractions-g3383710-Activities-Sirsa_Sirsa_District_Haryana.html,Unknown,Unknown,Unknown,Unknown
2174,haridwar weather,201000,61,516.0,$0,1,47,https://www.tripadvisor.in/Attractions-g580106-Activities-Rishikesh_Dehradun_District_Uttarakhand.html,Unknown,Unknown,Unknown,Unknown
2175,kottakkal,246000,26,565.0,$0.09,2,61,https://www.tripadvisor.in/Tourism-g10819856-Kottakkal_Malappuram_District_Kerala-Vacations.html,Unknown,Unknown,Unknown,Unknown
2176,kerala fort kochi,246000,16,2779.0,$0.40,5,38,https://www.tripadvisor.in/Tourism-g15180821-Fort_Kochi_Kochi_Cochin_Ernakulam_District_Kerala-Vacations.html,Unknown,Unknown,Unknown,Unknown
2177,dwarka bet,201000,11,6297.0,$0.01,1,38,https://www.tripadvisor.in/Attraction_Review-g12385472-d4896071-Reviews-Beyt_Dwarka-Devbhumi_Dwarka_District_Gujarat.html,Unknown,Unknown,Unknown,Unknown
2178,dosa near me,201000,8,11537.0,$0.20,6,26,https://www.tripadvisor.in/Restaurants-g297633-zfd22582-Kochi_Cochin_Ernakulam_District_Kerala-Dosa.html,Unknown,Unknown,Unknown,Restaurant
2179,and kashmir,368000,19,1377.0,$0.45,1,69,https://www.tripadvisor.in/Tourism-g297619-Jammu_and_Kashmir-Vacations.html,Unknown,Unknown,Unknown,Unknown
2180,amaravati,201000,32,565.0,$0,1,60,https://www.tripadvisor.in/Tourism-g1219610-Amaravathi_Guntur_District_Andhra_Pradesh-Vacations.html,Unknown,Unknown,Unknown,Unknown
2181,ahmednagar maharashtra,246000,13,6297.0,$0.26,1,47,https://www.tripadvisor.in/Attractions-g1156414-Activities-Ahmednagar_Ahmednagar_District_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
2182,ahmednagar in maharashtra,246000,11,8314.0,$0.25,1,39,https://www.tripadvisor.in/Attractions-g1156414-Activities-Ahmednagar_Ahmednagar_District_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
2183,agra fort,246000,13,4846.0,$0.76,5,49,https://www.tripadvisor.in/Attraction_Review-g297683-d319695-Reviews-Agra_Fort-Agra_Agra_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2184,madhya pradesh ratlam,246000,12,6297.0,$0.05,1,39,https://www.tripadvisor.in/Attractions-g1156404-Activities-Ratlam_Ratlam_District_Madhya_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2185,morbi,246000,15,2238.0,$0,1,61,https://www.tripadvisor.in/Attractions-g1102824-Activities-Morbi_Morbi_District_Gujarat.html,Unknown,Unknown,Unknown,Unknown
2186,malappuram town,201000,11,6297.0,$0,2,48,https://www.tripadvisor.in/Attractions-g1156216-Activities-Malappuram_Malappuram_District_Kerala.html,Unknown,Unknown,Unknown,Unknown
2187,malappuram india,201000,12,6297.0,$0.07,1,33,https://www.tripadvisor.in/Tourism-g1156216-Malappuram_Malappuram_District_Kerala-Vacations.html,Unknown,Unknown,Unknown,Unknown
2188,sri ganganagar rajasthan,14800,17,2238.0,$0,1,18,https://www.tripadvisor.in/Attractions-g12413367-Activities-Sri_Ganganagar_District_Rajasthan.html,Unknown,Unknown,Unknown,Unknown
2189,fuq,246000,34,516.0,$0,1,26,https://www.tripadvisor.in/LocationPhotoDirectLink-g1605648-i458107130-Floriana_Island_of_Malta.html,Unknown,Unknown,Unknown,Unknown
2190,somnath,246000,20,1377.0,$0.16,1,61,https://www.tripadvisor.in/Attraction_Review-g2282347-d2626105-Reviews-Somnath_Mahadev_Mandir-Somnath_Gir_Somnath_District_Gujarat.html,Unknown,Unknown,Unknown,Unknown
2191,sohna in haryana,246000,14,3690.0,$0.12,2,19,https://www.tripadvisor.in/Attractions-g2185944-Activities-Sohna_Gurgaon_District_Haryana.html,Unknown,Unknown,Unknown,Unknown
2192,sanjay gandhi national parks,246000,13,6297.0,$0.07,9,36,https://www.tripadvisor.in/ShowUserReviews-g304554-d324632-r266085780-Sanjay_Gandhi_National_Park-Mumbai_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
2193,thoothukudi city,201000,41,516.0,$0.25,1,45,https://www.tripadvisor.in/Tourism-g793693-Thoothukudi_Thoothukudi_District_Tamil_Nadu-Vacations.html,Unknown,Unknown,Unknown,Unknown
2194,temple of padmanabhaswamy,246000,12,4846.0,$0.54,11,38,https://www.tripadvisor.in/Attraction_Review-g297637-d478102-Reviews-Sree_Padmanabhaswamy_Temple-Thiruvananthapuram_Trivandrum_Thiruvananthapuram_Distr.html,Unknown,Unknown,Unknown,Unknown
2195,station road,246000,49,516.0,$0.11,3,25,https://www.tripadvisor.in/Hotel_Review-g297621-d24180010-Reviews-Ramada_by_Wyndham_Katra_Station_Road-Katra_Reasi_District_Jammu_Jammu_and_Kashmir.html,Unknown,Unknown,Unknown,Hotel
2196,vizag ramakrishna beach,246000,5,39852.0,$0.34,8,45,https://www.tripadvisor.in/Attraction_Review-g297588-d1771431-Reviews-Rama_Krishna_Beach-Visakhapatnam_Visakhapatnam_District_Andhra_Pradesh.html,Unknown,Unknown,Unknown,Unknown
2197,water park,301000,6,39852.0,$0.53,2,48,https://www.tripadvisor.in/Attractions-g297607-Activities-c52-Gujarat.html,Unknown,Unknown,Unknown,Unknown
2198,restaurant with bar near me,246000,8,16211.0,$0.06,18,23,https://www.tripadvisor.in/Restaurants-g297615-zfg11776-Gurugram_Gurgaon_Gurgaon_District_Haryana.html,Unknown,Unknown,Unknown,Restaurant
2199,raigarh fort maharashtra,246000,10,8314.0,$0.02,1,30,https://www.tripadvisor.in/Attraction_Review-g2531523-d1536727-Reviews-Raigad_Fort-Raigad_Raigad_District_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
2200,raigad fort maharashtra,246000,12,8314.0,$0.02,1,32,https://www.tripadvisor.in/Attraction_Review-g2531523-d1536727-Reviews-Raigad_Fort-Raigad_Raigad_District_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
2201,pnr number status irctc,246000,17,1254.0,$0.01,1,63,https://www.tripadvisor.in/ShowTopic-g293860-i511-k10015421-Some_ways_to_check_the_PNR_status_for_Indian_Railway-India.html,Unknown,Unknown,Unknown,Unknown
2202,hire bicycle near me,50,54,516.0,$0.06,55,22,https://www.tripadvisor.in/Attraction_Review-g304555-d14013711-Reviews-Jaipur_Bike_Rental-Jaipur_Jaipur_District_Rajasthan.html,Unknown,Unknown,Unknown,Unknown
2203,jammu and kashmir in india,246000,25,664.0,$0.29,1,48,https://www.tripadvisor.in/Attractions-g297619-Activities-Jammu_and_Kashmir.html,Unknown,Unknown,Unknown,Unknown
2204,italy,246000,31,516.0,$0.56,1,70,https://www.tripadvisor.in/Attractions-g187768-Activities-Italy.html,Unknown,Unknown,Unknown,Unknown
2205,india khanna,246000,29,516.0,$0.11,1,28,https://www.tripadvisor.in/Restaurant_Review-g12346228-d15635355-Reviews-Rolls_Nation_India-Khanna_Ludhianar_District_Punjab.html,Unknown,Unknown,Unknown,Restaurant
2206,ice cream near me,201000,9,8314.0,$0.36,5,36,https://www.tripadvisor.in/Restaurants-g297628-zfd9899-Bengaluru_Bangalore_District_Karnataka-Ice_Cream.html,Unknown,Unknown,Unknown,Restaurant
2207,kerala padmanabhaswamy,246000,9,16211.0,$0.45,9,45,https://www.tripadvisor.in/Attraction_Review-g297637-d478102-Reviews-Sree_Padmanabhaswamy_Temple-Thiruvananthapuram_Trivandrum_Thiruvananthapuram_Distr.html,Unknown,Unknown,Unknown,Unknown
2208,mohali india,246000,6,39852.0,$0.29,3,48,https://www.tripadvisor.in/Tourism-g1584804-Mohali_Mohali_District_Punjab-Vacations.html,Unknown,Unknown,Unknown,Unknown
2209,m chinnaswamy stadium,301000,13,4846.0,$0,4,28,https://www.tripadvisor.in/ShowUserReviews-g297628-d6706034-r301221061-M_Chinnaswamy_Stadium-Bengaluru_Bangalore_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
