No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1456,tandoor,49500,7,5886,$0.06,45,59,https://www.zomato.com/bangalore/tandoor-a-heritage-indian-restaurant-bar-mg-road-bangalore
1457,taco bell near me,40500,6,9801,$0.28,3,18,https://www.zomato.com/bangalore/restoran/taco-bell-1?category=2
1458,restaurant zam zam,60500,5,9801,$0.09,2,23,https://www.zomato.com/kolkata/zam-zam-restaurant-park-circus-area
1459,punjab restaurants near me,60500,8,3986,$0.13,10,27,https://www.zomato.com/jalandhar
1460,patna international airport,60500,93,127,$0.12,1,37,https://www.zomato.com/patna
1461,magnum ice cream,74000,13,907,$0.24,24,28,https://www.zomato.com/ncr/kwality-walls-ice-cream-and-more-jail-road-new-delhi/order
1462,kwality walls,60500,10,2837,$0.19,1,37,https://www.zomato.com/ncr/kwality-walls-ice-cream-and-more-connaught-place-new-delhi/order
1463,hotel clarks amer,49500,21,308,$0.12,35,38,https://www.zomato.com/jaipur/hotel-clarks-amer-jaipur-tonk-road
1464,daryaganj restaurant,40500,5,9801,$0,5,32,https://www.zomato.com/ncr/daryaganj-by-the-inventors-of-butter-chicken-and-dal-makhani-aerocity-new-delhi
1465,cafe de flora,49500,3,18392,$0.09,3,28,https://www.zomato.com/ncr/cafe-de-flora-chanakyapuri-new-delhi
1466,bannerghatta road,60500,12,1191,$0.16,5,38,https://www.zomato.com/bangalore/best-bannerghatta-road-restaurants
1467,baba ramdev dhaba,49500,4,18392,$0,3,28,https://www.zomato.com/pune/baba-ramdev-dhaba-nigdi
1468,amritsar kesar da dhaba,60500,4,9801,$0.07,1,28,https://www.zomato.com/amritsar/kesar-da-dhaba-hathi-gate
1469,cafe in bandra mumbai,60500,10,3986,$0.02,2,23,https://www.zomato.com/mumbai/cafe-bandra-pali-hill-bandra-west
1470,thali near me,60500,4,18392,$0.19,7,34,https://www.zomato.com/mumbai/best-thali
1471,janakpuri district center delhi,40500,8,2044,$0.11,4,20,https://www.zomato.com/ncr/restaurants/in/district-centre-janakpuri
1472,hyatt centric janakpuri new delhi,49500,9,1548,$1.07,17,25,https://www.zomato.com/ncr/kitchen-district-hyatt-centric-1-janakpuri-new-delhi
1473,ginger hotel wakad,60500,7,2837,$0.44,12,35,https://www.zomato.com/pune/qmin-ginger-hotels-wakad-wakad
1474,majestic near me,49500,6,9801,$0.02,1,19,https://www.zomato.com/bangalore/majestic-restaurants
1475,kurla de,60500,5,2837,$0,1,36,https://www.zomato.com/mumbai/de-bombay-cuisine-kurla/order
1476,kora food street,60500,6,5886,$0.05,5,33,https://www.zomato.com/chennai/restaurants/in/kora-food-street-anna-nagar-west
1477,roastery coffee house,40500,6,5886,$0.78,8,28,https://www.zomato.com/ncr/roastery-coffee-house-sarvodaya-enclave-new-delhi
1478,restaurants in indiranagar bangalore,60500,4,18392,$0.06,9,28,https://www.zomato.com/bangalore/indiranagar-restaurants
1479,punjabi dhaba near me,60500,6,5886,$0.08,5,25,https://www.zomato.com/dhabas-near-me
1480,pizza express,60500,11,1548,$0.29,3,37,https://www.zomato.com/mumbai/pizzaexpress-nerul-navi-mumbai
1481,peruchi wadi chulivarachi misal,60500,16,453,$0.21,5,30,https://www.zomato.com/nashik/peruchi-wadi-college-road
1482,night clubbing,60500,8,2837,$0.11,2,37,https://www.zomato.com/mumbai/night-clubs
1483,exhausted hindi meaning,60500,50,127,$0,1,18,https://www.zomato.com/policies/terms-of-service/
1484,dlf cyber park,74000,44,127,$0.54,3,36,https://www.zomato.com/ncr/dlf-cyber-city-restaurants
1485,charni road,49500,8,5886,$0,10,36,https://www.zomato.com/mumbai/charni-road-restaurants
1486,cafes to visit in dehradun,60500,6,9801,$0.36,11,24,https://www.zomato.com/dehradun/great-cafes
1487,zam zam restaurants,49500,6,9801,$0.81,2,28,https://www.zomato.com/kolkata/zam-zam-restaurant-park-circus-area
1488,salem selvi mess,60500,7,18392,$0.04,2,22,https://www.zomato.com/salem/selvi-mess-seelanaickenpatti
1489,vashi plaza vashi,60500,21,199,$0.07,6,25,https://www.zomato.com/mumbai/restaurants/in/satra-plaza-vashi
1490,hyatt regency chennai,60500,16,453,$6.55,27,40,https://www.zomato.com/chennai/restaurants/in/hyatt-regency-anna-salai
1491,raj dhaba near me,49500,5,9801,$0.03,2,25,https://www.zomato.com/hyderabad/rajs-dhaba-paradise-circle-secunderabad
1492,places with sweets near me,60500,5,18392,$0.05,14,23,https://www.zomato.com/dessert-parlor-near-me
1493,phoenix market city mall,49500,63,127,$0.08,1,51,https://www.zomato.com/bangalore/belle-ville-pancake-cafe-1-mahadevapura-bangalore
1494,om sweets,60500,5,9801,$0.04,5,38,https://www.zomato.com/ncr/om-sweets-snacks-sector-31
1495,noida sector 93,60500,9,2044,$0.20,5,20,https://www.zomato.com/ncr/best-sector-93-noida-restaurants
1496,dadar west,49500,11,1191,$0.16,9,35,https://www.zomato.com/mumbai/dadar-west-restaurants
1497,chinese near me,49500,4,18392,$0.35,3,28,https://www.zomato.com/chinese-restaurants-near-me
1498,cha cha,60500,15,550,$0,1,36,https://www.zomato.com/bangalore/restaurants/cha-cha-cha-dimsum-sushi-stir-fry?subzone=5413&category=2
1499,burma burma restaurant,40500,5,9801,$0.10,1,26,https://www.zomato.com/hyderabad/burma-burma-hitech-city-hitech-city
1500,burma burma,40500,6,5886,$0.14,1,30,https://www.zomato.com/bangalore/burma-burma-indiranagar-indiranagar-bangalore
1501,bengali food restaurants near me,60500,4,18392,$0.08,12,27,https://www.zomato.com/bengali-restaurants-near-me
1502,bastian garden city,60500,5,9801,$0,7,34,https://www.zomato.com/bangalore/bastian-garden-city-st-marks-road-bangalore
1503,babylon hyderabad,49500,1,18392,$0.03,1,22,https://www.zomato.com/hyderabad/babylon-brewery-club-nanakramguda
1504,4ps pizza,49500,5,5886,$0.30,1,27,https://www.zomato.com/bangalore/pizza-4ps-indiranagar-bangalore
1505,11th zone,60500,5,2837,$0,1,32,https://www.zomato.com/rajkot/eleven-egg-zone-bhakti-nagar
1506,hotel surya,60500,5,3986,$0.37,6,38,https://www.zomato.com/indore/hotel-surya-south-tukoganj
1507,south indian cuisine restaurants,60500,6,18392,$0.04,3,22,https://www.zomato.com/south-indian-restaurants-near-me
1508,sector 73 noida,60500,11,907,$0.43,6,20,https://www.zomato.com/ncr/sector-73-restaurants
1509,sector 67,60500,7,2837,$0.12,7,18,https://www.zomato.com/ncr/sector-67-restaurants
1510,restaurants in new delhi connaught place,49500,4,18392,$0.05,3,24,https://www.zomato.com/ncr/connaught-place-delhi-restaurants
1511,ramji,60500,13,907,$0,1,49,https://www.zomato.com/ncr/ramji-di-hatti-caterers-mayapuri-phase-2-new-delhi
1512,pizza 4p,60500,3,5886,$0.10,4,26,https://www.zomato.com/bangalore/pizza-4ps-indiranagar-bangalore
1513,murthal dhaba,60500,8,3986,$0.31,1,37,https://www.zomato.com/sonipat/murthal-dhaba-sonipat-locality/menu
1514,lord of drinks connaught place,60500,1,18392,$0.07,2,19,https://www.zomato.com/ncr/lord-of-the-drinks-connaught-place-new-delhi
1515,kolkata deshapriya park,60500,38,127,$0.07,4,19,https://www.zomato.com/kolkata/deshapriya-park-road-manoharpukur-restaurants/bengali
1516,misal pav near me,60500,4,18392,$0.22,3,24,https://www.zomato.com/mumbai/delivery/dish-misal-pav
1517,pizza shop near me,74000,6,5886,$0.19,7,71,https://www.zomato.com/pizza-restaurants-near-me
1518,falak numa hyderabad,60500,39,127,$0.23,4,46,https://www.zomato.com/hyderabad/adaa-taj-falaknuma-palace-falaknuma
1519,connaught place delhi restaurants,49500,4,18392,$0.04,4,21,https://www.zomato.com/ncr/connaught-place-delhi-restaurants
1520,combo combo,170,14,907,$0,1,18,https://www.zomato.com/mumbai/combo-jumbo-1-kopar-khairane-navi-mumbai
1521,cloud kitchen,60500,19,453,$0.25,1,37,https://www.zomato.com/ncr/cloud-kitchen-1-rohini-new-delhi
1522,burma restaurant mumbai,60500,1,18392,$0.08,1,21,https://www.zomato.com/mumbai/burma-burma-fort-fort
1523,brewing near me,60500,4,18392,$0.05,11,43,https://www.zomato.com/microbreweries-near-me
1524,best places for food near me,60500,2,18392,$0.06,14,24,https://www.zomato.com/restaurants-near-me
1525,indian restaurants connaught place,49500,4,18392,$0.13,4,21,https://www.zomato.com/ncr/connaught-place-delhi-restaurants/north-indian
1526,i t c grand bharat gurgaon,60500,27,133,$0.54,56,36,https://www.zomato.com/ncr/aravali-pavilion-itc-grand-bharat-manesar-gurgaon
1527,fire station,60500,14,1191,$0.10,1,39,https://www.zomato.com/bangalore/fire-station-electronic-city-bangalore
1528,barbeque and barbecue,60500,21,260,$0.02,18,48,https://www.zomato.com/bangalore/barbeque-grills-electronic-city-bangalore
1529,56 dukan street,60500,7,9801,$0.03,8,34,https://www.zomato.com/indore/restaurants/in/56-dukan-new-palasia
1530,toit bangalore,74000,4,9801,$1.23,2,41,https://www.zomato.com/bangalore/toit-indiranagar
1531,the rameshwaram cafe pune,40500,2,18392,$0.10,6,24,https://www.zomato.com/pune/the-rameshwaram-cafe-viman-nagar
1532,tea post near me,49500,5,9801,$0.09,3,22,https://www.zomato.com/rajkot/tea-post-kalawad-road
1533,symphony,60500,15,356,$0.34,99,79,https://www.zomato.com/mumbai/symphony-kemps-corner
1534,silver beach,40500,19,1191,$0,10,34,https://www.zomato.com/mumbai/silver-beach-cafe-juhu/menu
1535,truffles restaurant bangalore,49500,5,18392,$0,5,29,https://www.zomato.com/bangalore/ristoranti/truffles-1?category=2
1536,south indian food restaurant,60500,6,9801,$0.05,2,22,https://www.zomato.com/ncr/restaurants/south-indian
1537,sheraton grand brigade gateway,60500,7,2837,$0.24,26,31,https://www.zomato.com/bangalore/restaurants/in/sheraton-grand-bangalore-brigade-gateway
1538,lords of drinks delhi,60500,1,18392,$0.07,3,27,https://www.zomato.com/ncr/lord-of-the-drinks-connaught-place-new-delhi
1539,lord of the drinks,60500,5,9801,$0.42,2,24,https://www.zomato.com/ncr/lord-of-the-drinks-connaught-place-new-delhi
1540,sainik farm new delhi,60500,18,453,$0.15,5,19,https://www.zomato.com/ncr/sainik-farms-delhi-restaurants
1541,radisson blu hotel new delhi dwarka,49500,29,127,$0.34,5,21,https://www.zomato.com/ncr/restaurants/in/radisson-blu-sector-13-dwarka
1542,firehouse station,60500,50,127,$0.10,1,45,https://www.zomato.com/bangalore/fire-station-electronic-city-bangalore
1543,erode amman mess,49500,5,9801,$0,3,28,https://www.zomato.com/chennai/erode-amman-mess-anna-nagar-east
1544,dwarka sector 7 delhi,60500,10,2044,$0.23,9,26,https://www.zomato.com/ncr/sector-7-dwarka-restaurants
1545,dessert places near me,60500,5,18392,$0.32,13,27,https://www.zomato.com/dessert-parlor-near-me
1546,delhi gali,60500,8,1191,$0,1,36,https://www.zomato.com/chandigarh/delhi-special-paranthe-wali-gali-1-sector-22
1547,cloud kitchens,60500,9,3986,$0.73,1,36,https://www.zomato.com/ncr/the-cloud-kitchens-ambedkar-road-ghaziabad
1548,kiosk,60500,29,163,$0.90,1,49,https://www.zomato.com/mumbai/kiosk-kaffee-bhayandar
1549,jd,60500,65,127,$0.17,1,47,https://www.zomato.com/jaipur/jd-restasurant-cafe-sitapur
1550,hotel westin mumbai goregaon,60500,8,2044,$0.72,15,40,https://www.zomato.com/mumbai/restaurants/in/the-westin-mumbai-garden-city-goregaon-east
1551,haleem,60500,11,2837,$0.23,1,49,https://www.zomato.com/hyderabad/hyderabadi-haleem
1552,gurgaon sector 85,60500,9,2837,$0.22,4,33,https://www.zomato.com/ncr/sector-85-restaurants
1553,wow china,60500,8,3986,$0.22,1,22,https://www.zomato.com/kolkata/wow-china-new-town
1554,wine shop nearest,60500,23,199,$0,1,19,https://www.zomato.com/pune/restaurants/dish-wine
1555,vivanta new delhi dwarka,49500,21,244,$0.22,9,22,https://www.zomato.com/ncr/restaurants/in/vivanta-new-delhi-dwarka
1556,vega city mall,60500,12,683,$0.03,7,34,https://www.zomato.com/bangalore/restaurants/in/vega-city-bannerghatta-road
1557,unlimited pizza near me,60500,9,2044,$0.29,2,24,https://www.zomato.com/jaipur/the-pizza-unlimited-pink-city
1558,the hole in the wall café,60500,4,18392,$0.12,5,29,https://www.zomato.com/bangalore/the-hole-in-the-wall-cafe-koramangala-4th-block-bangalore
1559,sindhi colony,60500,11,2044,$0,3,37,https://www.zomato.com/hyderabad/s-p-road-order-online?delivery_subzone=1615&veg=1
1560,sector 144,60500,5,9801,$0.11,4,22,https://www.zomato.com/bangalore/sector-144-electronic-city-bangalore
1561,novotel kolkata,60500,30,127,$0.35,32,46,https://www.zomato.com/kolkata/the-square-novotel-new-town
1562,moti mahal,60500,7,5886,$0.34,1,37,https://www.zomato.com/ncr/moti-mahal-daryaganj-delhi
1563,rmz infinity,60500,6,3986,$0.39,7,39,https://www.zomato.com/bangalore/restaurants/in/rmz-infinity-old-madras-road
1564,ram nagar karnataka,60500,48,127,$0.35,1,38,https://www.zomato.com/deliver-food/
1565,que 1,60500,6,3986,$0,1,39,https://www.zomato.com/kolkata/que-pasa-sector-1-salt-lake
1566,pani puri near me,49500,6,9801,$0.37,4,21,https://www.zomato.com/hyderabad/restaurants/dish-pani-puri
1567,hotel sangam,49500,5,9801,$0.24,6,34,https://www.zomato.com/chennai/hotel-sangam-anna-salai
1568,himalaya mall,49500,12,1191,$0.43,6,34,https://www.zomato.com/ahmedabad/restaurants/in/himalaya-mall-memnagar
1569,kiki by the sea,60500,2,9801,$0.08,4,22,https://www.zomato.com/goa/kiki-by-the-sea-vagator
1570,ito,60500,15,356,$0.04,5,51,https://www.zomato.com/ncr/delivery-in-ito/dish-mutton-biryani
1571,chai near me,49500,5,9801,$0.30,3,28,https://www.zomato.com/tea-restaurants-near-me
1572,fountain hotel,49500,6,5886,$0.29,4,34,https://www.zomato.com/mumbai/hotel-fountain-mira-road
1573,delhi east of kailash,60500,21,260,$0.14,4,19,https://www.zomato.com/ncr/east-of-kailash-delhi-restaurants
1574,cafe delhi heights,60500,5,9801,$0.21,3,32,https://www.zomato.com/ncr/restaurants/cafe-delhi-heights
1575,barfi ki bareilly,60500,12,1191,$0.02,1,37,https://www.zomato.com/hi/chandigarh/bareilly-ki-barfi-sector-82-mohali
1576,thali,60500,10,2837,$0.14,4,51,https://www.zomato.com/ncr/restaurants/dish-veg-thali
1577,shree baba ramdev dhaba,49500,3,18392,$0,7,22,https://www.zomato.com/hi/pune/baba-ramdev-dhaba-nigdi
1578,shiv sagar,60500,7,5886,$0.11,2,37,https://www.zomato.com/mumbai/restaurants/shiv-sagar-2
1579,og by the lake,49500,3,18392,$0,5,21,https://www.zomato.com/kolkata/og-by-the-lake-1-topsia
1580,mumbai westin garden city,60500,6,3428,$0.82,15,42,https://www.zomato.com/mumbai/restaurants/in/the-westin-mumbai-garden-city-goregaon-east
1581,kolkata novotel hotel,60500,35,127,$0.30,24,27,https://www.zomato.com/kolkata/the-square-novotel-new-town
1582,best eat near me,49500,4,18392,$0.06,12,20,https://www.zomato.com/restaurants-near-me
1583,cafe in mumbai bandra,60500,6,5886,$0.03,4,21,https://www.zomato.com/mumbai/bandra-west-restaurants/caf%C3%A9
1584,coffee prices starbucks,60500,6,5886,$0.02,1,24,https://www.zomato.com/bangalore/starbucks-coffee-mg-road-bangalore/order
1585,cafe bahar & restaurant,60500,2,18392,$0.08,4,32,https://www.zomato.com/hyderabad/cafe-bahar-basheer-bagh
1586,cafe bahar,49500,5,18392,$0,3,33,https://www.zomato.com/hyderabad/cafe-bahar-basheer-bagh
1587,the park raj bhavan road hyderabad,60500,20,260,$0.43,28,37,https://www.zomato.com/hyderabad/verandah-the-park-somajiguda
1588,south indian restaurants,74000,5,18392,$0.12,3,36,https://www.zomato.com/south-indian-restaurants-near-me
1589,sheraton grand in bangalore,60500,14,683,$0.86,25,38,https://www.zomato.com/bangalore/restaurants/in/sheraton-grand-bangalore-brigade-gateway
1590,sector 53 noida,60500,9,2044,$0.13,5,19,https://www.zomato.com/ncr/sector-53-noida-restaurants
1591,r meal,40500,5,2837,$0,1,30,https://www.zomato.com/mumbai/r-daily-meal-vashi-navi-mumbai/order
1592,pizza shops close to me,60500,6,9801,$0.12,10,30,https://www.zomato.com/pizza-restaurants-near-me
1593,paan shop near me,49500,4,18392,$0.22,1,20,https://www.zomato.com/paan-shop-near-me
1594,nisha,60500,19,356,$0,1,49,https://www.zomato.com/mumbai/nisha-nalasopara/photos
1595,navalur ags,60500,21,199,$0.15,4,38,https://www.zomato.com/chennai/restaurants/near/ags-cinemas?credit-card=1
1596,monk's,60500,3,9801,$0,1,35,https://www.zomato.com/bangalore/monks-bar-social-bannerghatta-road-bangalore
1597,itc bharat,49500,26,145,$0.17,50,48,https://www.zomato.com/ncr/aravali-pavilion-itc-grand-bharat-manesar-gurgaon
1598,hungry,74000,29,133,$0,1,53,https://www.zomato.com/hyderabad/being-hungry-kondapur
1599,chinese chinese near me,60500,4,18392,$0.06,4,23,https://www.zomato.com/chinese-restaurants-near-me
1600,cafes to visit in goa,60500,11,1548,$0.14,28,27,https://www.zomato.com/goa/great-cafes
1601,grand hyatt gurgaon,60500,11,907,$0.30,16,36,https://www.zomato.com/ncr/restaurants/in/grand-hyatt-gurgaon-sector-58
1602,eateries in indiranagar,60500,7,5886,$0.07,11,21,https://www.zomato.com/bangalore/indiranagar-restaurants
1603,bikaner sweets,49500,6,5886,$0.12,4,34,https://www.zomato.com/ncr/bikaner-sweets-snacks-1-sector-75-noida
1604,umaid bhawan in jodhpur,60500,37,127,$0.21,37,43,https://www.zomato.com/jodhpur/risala-umaid-bhawan-palace-cantt-area
1605,truffles bangalore,60500,5,18392,$7.31,4,38,https://www.zomato.com/bangalore/ristoranti/truffles-1?category=2
1606,candy,60500,20,308,$0.64,54,66,https://www.zomato.com/ncr/house-of-candy-1-mg-road
1607,cafes in bandra,60500,6,5886,$0.58,2,32,https://www.zomato.com/mumbai/bandra-west-restaurants/cafes
1608,shyamal cross road,49500,26,145,$0,14,32,https://www.zomato.com/ahmedabad/shyamal-food-court-satellite
1609,shiva dhaba,49500,8,5886,$0,1,33,https://www.zomato.com/ncr/shiva-dhaba-1-sector-49-gurgaon
1610,sheraton brigade gateway hotel,60500,15,453,$0.72,25,28,https://www.zomato.com/bangalore/restaurants/in/sheraton-grand-bangalore-brigade-gateway
1611,sector 71,49500,17,356,$0.50,12,36,https://www.zomato.com/ncr/sector-71-gurgaon-restaurants
1612,restaurants in connaught place delhi,60500,4,18392,$0.03,4,28,https://www.zomato.com/ncr/connaught-place-delhi-restaurants
1613,rameshwaram cafe near me,49500,8,3986,$0.04,7,22,https://www.zomato.com/bangalore/the-rameshwaram-cafe-indiranagar-bangalore
1614,punjab ke,60500,8,3986,$0,1,41,https://www.zomato.com/ncr/punjab-ke-mashoor-paranthe-1-indirapuram-ghaziabad
1615,thane r mall,60500,6,2837,$0.18,6,20,https://www.zomato.com/mumbai/restaurants/in/r-mall-thane-area-mumbai
1616,katha,60500,19,260,$0,1,50,https://www.zomato.com/hyderabad/native-katha-madhapur
1617,places for desserts near me,60500,5,18392,$0.07,13,34,https://www.zomato.com/dessert-parlor-near-me
1618,park hyatt hyderabad,60500,12,907,$2.23,28,40,https://www.zomato.com/hyderabad/the-dining-room-park-hyatt-banjara-hills
1619,near me taco bell,60500,9,2837,$0.09,7,21,https://www.zomato.com/ncr/restaurants/taco-bell?subzone=101&category=2
1620,mumbai dadar west,60500,18,338,$0.18,4,19,https://www.zomato.com/mumbai/dadar-west-restaurants
1621,mod donuts,60500,7,5886,$0.06,6,38,https://www.zomato.com/mumbai/restaurants/mad-over-donuts
1622,fatima nagar,60500,17,550,$0.18,5,38,https://www.zomato.com/pune/fatima-nagar-restaurants
1623,coffee shops in bandra,60500,7,3986,$0.03,5,27,https://www.zomato.com/mumbai/bandra-west-restaurants/cafes
1624,gopalan grand mall bangalore,60500,5,3986,$0.19,5,25,https://www.zomato.com/bangalore/restaurants/in/gopalan-grand-mall
1625,brewery near me,60500,4,18392,$0.30,11,35,https://www.zomato.com/ncr/microbrewery
1626,best fooding near me,60500,5,18392,$0.06,14,24,https://www.zomato.com/restaurants-near-me
1627,almond house,49500,9,3986,$3.91,22,39,https://www.zomato.com/hyderabad/almond-house-1-banjara-hills/order
1628,places in ahmedabad,60500,21,308,$0.13,17,18,https://www.zomato.com/ahmedabad/restaurants
1629,pizza 4ps,40500,3,5886,$0.22,1,23,https://www.zomato.com/bangalore/pizza-4ps-indiranagar-bangalore
1630,nightlife club,110000,6,9801,$0.72,1,48,https://www.zomato.com/mumbai/drinks-and-nightlife
1631,night club,74000,13,1191,$0.59,1,41,https://www.zomato.com/ncr/drinks-and-nightlife
1632,sa ma,60500,3,18392,$0.23,1,22,https://www.zomato.com/hyderabad/sa-ma-the-indian-kitchen-film-nagar
1633,indian restaurant in indiranagar,60500,5,9801,$0.07,11,19,https://www.zomato.com/bangalore/indiranagar-restaurants/north-indian
1634,hotpot food,49500,12,1548,$0.02,21,44,https://www.zomato.com/ncr/restaurants/hot-pot
1635,hotel daspalla hyderabad,60500,11,907,$0.22,9,34,https://www.zomato.com/hyderabad/dakshin-hotel-daspalla-jubilee-hills
1636,hotel clarks amer jaipur,49500,12,683,$0.11,38,31,https://www.zomato.com/jaipur/restaurants/in/hotel-clarks-amer
1637,empire restaurants near me,60500,4,18392,$0.08,8,23,https://www.zomato.com/bangalore/restaurants/empire-restaurant
1638,e d m mall,60500,6,2044,$0.06,4,21,https://www.zomato.com/ncr/restaurants/in/edm-mall
1639,dwarka sector 7,60500,10,2044,$0.09,3,32,https://www.zomato.com/ncr/sector-7-dwarka-restaurants
1640,deccan indian,60500,13,1548,$0,1,14,https://www.zomato.com/bangalore/deccan-biryani-house-hsr-bangalore
1641,cream stone near me,60500,4,18392,$0.35,3,24,https://www.zomato.com/hyderabad/cream-stone-ice-cream-jubilee-hills
1642,cafe to visit in ahmedabad,60500,4,18392,$0.10,11,30,https://www.zomato.com/ahmedabad/great-cafes
1643,chicken biryani near me,49500,4,18392,$0.19,7,22,https://www.zomato.com/hyderabad/delivery/dish-biryani
1644,meals near me,60500,6,5886,$0.24,10,35,https://www.zomato.com/restaurants-near-me
1645,hotel rrr mysore,40500,4,18392,$0.19,9,28,https://www.zomato.com/mysore/hotel-rrr-mandi-mohalla
1646,fc road,40500,9,2044,$0,4,32,https://www.zomato.com/pune/fc-road-restaurants
1647,shangri la bengaluru,60500,18,338,$0.51,16,30,https://www.zomato.com/bangalore/restaurants/in/shangri-la-hotel-vasanth-nagar
1648,restaurants in connaught place new delhi,60500,4,18392,$0.03,4,24,https://www.zomato.com/ncr/connaught-place-delhi-restaurants
1649,restaurant in connaught place,60500,4,18392,$0.03,4,24,https://www.zomato.com/ncr/connaught-place-delhi-restaurants
1650,resort royal garden,60500,30,127,$0.02,12,34,https://www.zomato.com/mumbai/royal-garden-resort-family-restaurant-bar-mira-road
1651,ray's,60500,4,18392,$0.02,1,32,https://www.zomato.com/mumbai/rays-cafe-pizzeria-hill-road-bandra-west
1652,rain cloud technologies,60500,26,133,$0,9,34,https://www.zomato.com/bangalore/peenya-2nd-stage-restaurants/fast-food?cft=0
1653,toit indiranagar,74000,4,9801,$1.23,2,41,https://www.zomato.com/bangalore/toit-indiranagar
1654,sweets places near me,60500,5,18392,$0.05,14,24,https://www.zomato.com/sweet-shops-near-me
1655,best food near me,49500,4,18392,$0.34,11,23,https://www.zomato.com/restaurants-near-me
1656,almond house hyderabad,60500,9,5886,$1.84,28,40,https://www.zomato.com/hyderabad/almond-house-banjara-hills
1657,cafes to visit in ahmedabad,60500,4,18392,$0.12,10,27,https://www.zomato.com/ahmedabad/great-cafes
1658,edm mall,49500,6,2837,$0,7,35,https://www.zomato.com/ncr/restaurants/in/edm-mall
1659,devi cinemas,49500,14,683,$0,1,33,https://www.zomato.com/chennai/order-food-online?landmark_id=125
1660,delhi gole market,60500,9,2044,$0.03,1,22,https://www.zomato.com/ncr/gole-market-delhi-restaurants
1661,connaught place new delhi restaurants,60500,4,18392,$0.03,4,24,https://www.zomato.com/ncr/connaught-place-delhi-restaurants
1662,chin lung brewery indiranagar,60500,3,18392,$0.20,5,21,https://www.zomato.com/bangalore/chin-lung-brewery-indiranagar-bangalore
1663,brew near me,49500,4,18392,$1.01,7,30,https://www.zomato.com/bangalore/microbrewery
1664,w in goa,60500,22,199,$0.44,43,32,https://www.zomato.com/goa/restaurants/in/w-goa-vagator
1665,westin mumbai garden city hotel,60500,6,3986,$0.82,15,40,https://www.zomato.com/mumbai/restaurants/in/the-westin-mumbai-garden-city-goregaon-east
1666,maharana pratap nagar bhopal,60500,16,453,$0.11,6,19,https://www.zomato.com/bhopal/maharana-pratap-nagar-restaurants
1667,kolkata subway,60500,6,3986,$0.08,1,23,https://www.zomato.com/kolkata/subway-park-street-area
1668,khas khas,60500,72,127,$0.02,12,40,https://www.zomato.com/ncr/mafioso-hauz-khas-village-new-delhi
1669,shankar nagar,49500,26,260,$0,11,36,https://www.zomato.com/raipur/shankar-nagar-restaurants
1670,sector 86,60500,14,1191,$0.14,5,18,https://www.zomato.com/ncr/sector-86-gurgaon-gurugram-restaurants
1671,sector 53,60500,14,907,$0.14,5,18,https://www.zomato.com/ncr/sector-53-gurgaon-gurugram-restaurants
1672,mall of india noida,60500,9,1191,$0.77,4,25,https://www.zomato.com/ncr/restaurants/in/dlf-mall-of-india-sector-18-noida
1673,kesar da dhaba,49500,5,9801,$0.06,2,28,https://www.zomato.com/amritsar/kesar-da-dhaba-hathi-gate
1674,rajasthani dhaba near me,40500,5,18392,$0.17,2,18,https://www.zomato.com/rajasthani-restaurants-near-me
1675,eatclub,60500,11,1548,$0.17,5,51,https://www.zomato.com/ncr/eat-club-west-patel-nagar-new-delhi
1676,bathinda junction,33100,4,9801,$0,6,29,https://www.zomato.com/bangalore/bathinda-junction-koramangala-7th-block-bangalore
1677,arun ice cream near me,49500,5,18392,$0.33,4,21,https://www.zomato.com/hyderabad/restaurants/arun-ice-creams
1678,deccan location,60500,53,127,$0,1,24,https://www.zomato.com/pune/best-deccan-gymkhana-restaurants
1679,goa thalassa,60500,7,5886,$0.64,2,22,https://www.zomato.com/goa/thalassa-siolim
1680,starbucks coffee price,74000,6,5886,$0.13,1,36,https://www.zomato.com/ncr/starbucks-coffee-connaught-place-new-delhi
1681,south extension part 2,60500,11,1548,$0.07,5,25,https://www.zomato.com/ncr/south-extension-2-delhi-restaurants
1682,shop no 2,49500,9,1548,$0.15,2,21,https://www.zomato.com/ncr/the-new-shop-1-ashok-vihar-phase-2-new-delhi
1683,sector 93 noida,60500,12,1191,$0.13,5,19,https://www.zomato.com/ncr/best-sector-93-noida-restaurants
1684,restaurant chili,60500,5,9801,$0.09,3,27,https://www.zomato.com/chandigarh/chilis-grill-bar-chandigarh-industrial-area
1685,toscano,49500,5,5886,$0,7,48,https://www.zomato.com/hyderabad/toscano-1-hitech-city
1686,the rameshwaram cafe madhapur,60500,1,18392,$0.21,14,22,https://www.zomato.com/hyderabad/the-rameshwaram-cafe-madhapur
1687,thalassa goa restaurant,60500,4,9801,$0.64,2,20,https://www.zomato.com/goa/thalassa-siolim
1688,orion avenue,49500,21,163,$0.04,11,36,https://www.zomato.com/bangalore/restaurants/in/orion-east-banaswadi
1689,naturals ice cream near me,60500,6,5886,$0.02,6,25,https://www.zomato.com/bangalore/restaurants/natural-ice-cream
1690,pvr vega city,60500,8,1191,$0.05,7,34,https://www.zomato.com/bangalore/pvr-caf%C3%A9-popcorn-pizza-hot-dogs-snacks-bannerghatta-road-bangalore
1691,falaknuma palace hyderabad,60500,14,683,$0.08,28,40,https://www.zomato.com/hyderabad/restaurants/in/taj-falaknuma-palace-falaknuma
